foldername|placemark|reportid|reportdesc|county|reportdate|lng|lat
June 2000|June 2000|Report 637|Campers' encounter just after dark in the Wrangell - St. Elias National Park and Preserve|Cordova-McCarthy County|2000-06-16|-142.9|61.5
1995|1995|Report 2917|Family observes large biped from car|Prince of Wales County|1995-05-15|-132.7982|55.1872
February 2004|February 2004|Report 7963|Sasquatch walks past window of house at night|Prince of Wales County|2004-02-09|-132.8202|55.2035
June 2004|June 2004|Report 9317|Driver on Alcan Highway has noon, road encounter near Alaska-Canada border|Southeast Fairbanks County|2004-06-18|-141.5667|62.9375
February 2004|February 2004|Report 13038|Snowmobiler has encounter in deep snow near Potter, AK|Anchorage County|2004-02-15|-149.7853|61.0595
April 2008|April 2008|Report 23666|Passenger on the Alcan Highway sees a tall bipedal creature walk across the road|Southeast Fairbanks County|2008-04-23|-141.3165|62.77335
July 2009|July 2009|Report 26604|Daytime sighting of reddish-colored bigfoot near Fairbanks|Fairbanks County|2009-07-15|-147.8142|64.89139
September 1981 and 1982|September 1981 and 1982|Report 179|Man and witnesses have two seperate sighting, 1st while fishing, 2nd while driving|Russell County|1981-09-15|-85.16235|32.31435
July 1999|July 1999|Report 245|Two outdoorsman fishing, loud vocalizations, footsteps heard|Tuscaloosa County|1999-07-15|-87.32655|33.28375
November 1983|November 1983|Report 416|A resident's early evening sighting next to his home near New Market|Madison County|1983-11-15|-86.4559|34.95605
October 2000|October 2000|Report 435|Daylight sighting by husband and wife near home near Valhermosa Springs|Morgan County|2000-10-10|-86.66465|34.5422
August 1993|August 1993|Report 451|Young man has sighting near home|Limestone County|1993-08-20|-87.02025|34.9263
79, 80, 99|79, 80, 99|Report 577|Man has repeated visits at family farm|Colbert County|1999-11-15|-87.50905|34.80405
1978|1978|Report 799|Person fishing recounts story of his encounter with a large, bipedal creature that was wading in the water|Limestone County|1978-04-15|-87.1105|34.92855
November 1980|November 1980|Report 832|Witnesses spot a tall, brown object moving on a hill, also reported are moans and a sighting where red eyes are described|Pickens County|1980-11-15|-88.17885|33.13195
January 1997|January 1997|Report 961|Motorist confronted by hairy, man-like creature on roadside|Washington County|1997-01-06|-88.08305|31.4515
1990|1990|Report 1022|Hunters observe creature walking in the woods|Walker County|1990-09-15|-87.45876|33.97575
December 1996|December 1996|Report 1907|Motorist sees Bigfoot like creature, hears scream|Clarke County|1996-12-05|-87.96095|31.58255
2000|2000|Report 3028|Daylight sighting by lady while her husband was clearing trees|Morgan County|2000-06-01|-86.6333|34.4881
2001|2001|Report 3296|Man on his way to work  sees sasquatch crossing road in his headlights|Limestone County|2001-10-15|-87.00665|34.6802
February 2000|February 2000|Report 4743|Nighttime sighting by two teens in southern Conecuh County|Conecuh County|2000-02-10|-87.09069|31.16
June 1958|June 1958|Report 5954|Daylight sighting at eastern dike of East Lagoon in Aliceville|Pickens County|2007-09-01|-88.14999|33.13
August 2003|August 2003|Report 6938|Tracks and feces found in freshly turned field|Tuscaloosa County|2003-08-30|-87.35664|33.21145
June 2003|June 2003|Report 7031|Lady sees large hairy creature on the side of the road|Tuscaloosa County|2003-06-28|-87.31821|33.26035
1949|1949|Report 7235|Recollection of an afternoon sighting on Green Mountain|Madison County|2004-05-28|-86.52105|34.7325
January 2000|January 2000|Report 7427|Four youths have harrowing experience in Alabama backwoods.|Lee County|2003-11-26|-85.4258|32.6218
March 2004|March 2004|Report 8171|Nighttime Sighting on County Road|Shelby County|2004-05-09|-86.64066|33.3674
October 1986|October 1986|Report 8679|Adult recalls childhood sighting at dusk near Moody|St. Clair County|2004-09-30|-86.4664|33.6205
September 1979|September 1979|Report 10498|Hiker has daylight sighting near Warrior.|Jefferson County|1979-09-15|-86.7891|33.8132
July 1985|July 1985|Report 14082|Daylight road crossing sighting near Orrville|Dallas County|2006-09-10|-87.24547|32.30673
December 2002;2006|December 2002;2006|Report 15102|Daylight sighting by hunter near the Alabama / Mississippi border|Franklin County|2006-07-06|-86.99782|31.00002
January 2007|January 2007|Report 17455|Sighting by duck hunters in swamp area within Tuskegee National Forest|Macon County|2007-05-19|-85.705|32.43
June 2005|June 2005|Report 17480|Sighting by a group of campers in Cheaha Mountain State Park|Talladega County|2007-04-22|-85.625|33.35
1992|1992|Report 18043|Evening sighting by family driving by Guntersville Lake|Marshall County|1992-08-15|-86.17524|34.27607
July 2007|July 2007|Report 22539|Roadside Sighting near Moody|St. Clair County|2007-07-18|-86.5|33.59
April 2001|April 2001|Report 24646|Early morning sighting by a fisherman south of Montgomery|Lowndes County|2001-04-13|-86.581|32.184
1999|1999|Report 25238|Woman recalls encountering a creature while driving through Talladega National Forest|Talladega County|1999-11-23|-86.17122|33.36305
February 2009|February 2009|Report 25559|Exec on business trip has sighting from balcony of hotel near Huntsville|Madison County|2009-02-24|-86.6575|34.71139
September 1979|September 1979|Report 26513|Man recalls a sighting after Hurricane Frederic north of Mobile|Baldwin County|1979-09-14|-87.91833|30.7113
May 2000|May 2000|Report 26886|Daylight sighting while riding ATV on his private property outside Verbena|Chilton County|2000-05-13|-86.4891|32.76967
January 1980|January 1980|Report 27067|Motorists pulled over on a rural highway at night describe standoff in headlights east of Clayton|Barbour County|1980-01-12|-85.35995|31.86801
March 2010|March 2010|Report 27459|Motorist sights dirty-white upright creature near the town of Kansas|Walker County|2010-03-12|-87.53395|33.8957
1990|1990|Report 27480|Woman recounts childhood sighting of a white creature near the town of Kansas|Walker County|1990-05-15|-87.53395|33.8957
January 2005|January 2005|Report 27568|Daylight sighting of a Bigfoot outside Muscle Shoals|Colbert County|2005-01-12|-87.77686|34.70112
1983|1983|Report 33307|Memory told of a close encounter while riding a bike as a teen in Brewton|Escambia County|1983-10-14|-87.06486|31.13586
October 1978|October 1978|Report 35293|Daylight observation remembered of a Bigfoot holding a baby pig near Andalusia|Covington County|1978-10-10|-86.54527|31.34781
May 2012|May 2012|Report 35475|Daylight road crossing near Vernon|Lamar County|2012-05-21|-88.12475|33.41574
February 2008|February 2008|Report 37038|Nighttime sighting of a tall blonde biped crossing Hwy. 45 north of Fruitdale|Washington County|2008-02-15|-88.26291|31.25385
November 2012|November 2012|Report 37094|Multiple sightings close to Lookout Mountain near Gadsden|Etowa County|2012-11-01|-85.48985|33.82162
August 2012|August 2012|Report 39383|Kayaker has rocks thrown and observes the culprit near Union Grove|Morgan County|2012-08-15|-86.5045|34.32279
March 2013|March 2013|Report 40417|Nighttime encounters close to home near Morgan|Morgan County|2013-03-16|-86.56954|34.47091
January 2013|January 2013|Report 40912|Deer hunter hears then sees large hair-covered biped near the Morgan County line|Cullman County|2013-01-23|-86.88621|34.29511
October 2013|October 2013|Report 42939|Late afternoon sighting by a bow hunter in his tree stand south of Clanton|Chilton County|2013-10-15|-86.37698|32.48322
October 2013|October 2013|Report 43689|Night fisherman first hears and then observes two Bigfoots in his spotlight near Birmingham|Jefferson County|2013-10-02|-86.98473|33.55153
1967|1967|Report 44487|Memory told of a close dalylight observation outside Alexander City|Tallapoosa County|2014-03-30|-85.9793|32.91874
April 2014|April 2014|Report 44849|Sightings at night in the same area off Bone Camp Road near Northport|Tuscaloosa County|2014-12-27|-87.6942|33.37095
1953|1953|Report 44986|Memory told of a close up daylight encounter with two, possibly young, Bigfoots near Abbeville|Henry County|2014-12-31|-85.19265|31.651
June 2014|June 2014|Report 45296|Motorist observes a Bigfoot chasing a deer at night near Bremen|Cullman County|2014-06-09|-86.96416|34.00806
June 2014|June 2014|Report 45464|Motorist has a daylight sighting on Hwy. 9 east of Cedar Bluff|Cherokee County|2014-06-17|-85.22781|34.14117
September 2014|September 2014|Report 46746|Nighttime sighting by a motorist west of Newville|Henry County|2014-09-17|-85.21574|31.23374
January 2013|January 2013|Report 47975|Motorist observes a tall biped with an ape-like face while driving at dusk near Ariton|Coffee County|2013-01-28|-85.7944|31.53475
1998|1998|Report 186|Two boys are chased by sasquatch|Saline County|2001-08-11|-92.34083|34.55056
1972|1972|Report 1636|Teenager has sighting near Ozark National Forest|Baxter County|1972-11-05|-92.38222|36.19444
May 1995|May 1995|Report 1637|Backyard sighting near Mountain Home.|Baxter County|1995-05-15|-92.385|36.33528
October 1996|October 1996|Report 1640|Nightime sighting by motorists on Hwy 7 North|Hot Spring County|1996-10-15|-93|34.08
October 1998|October 1998|Report 1641|From top of hill, hunter observes bipedal creature following a fence row|Hot Spring County|1998-10-29|-93.1|34.25
August 1969|August 1969|Report 1944|Family has multiple encounters with white bigfoot creature|Little River County|1969-08-16|-94.3643|33.76986
October 1943|October 1943|Report 2494|Bus driver encounters ape like creature during an unscheduled stop|Lonoke County|2001-08-11|-91.735|34.787
