Date / Time,City,State,Shape,Duration,Summary,Posted
,Graham,NC,Cross,2 minutes,"White, cross-shaped, object, followed by a dark oval shaped object.",9/2/2015
9/2/2015 6:23:00,Weston,FL,Light,6:30,Bright light flying WEST to EAST. ((NUFORC Note: Atlas V launch from Cape Canaveral. PD)),9/2/2015
9/2/2015 6:22:00,Columbia,SC,Sphere,2 minutes,Thought it may have been a meteor but it was flying not falling had a huge boomerang shaped aura. ((NUFORC Note: Atlas V launch. PD)),9/2/2015
9/2/2015 6:10:00,Naples,FL,Fireball,15 seconds,Meteor like object entering the atmosphere east of Naples at 6:10. ((NUFORC Note: Atlas V launch from Cape Canaveral. PD)),9/2/2015
9/2/2015 6:10:00,North Port,FL,Teardrop,2 minutes,"Glowing blue tear drop shape, like a comet. ((NUFORC Note: Launch of Atlas V rocket from Cape Canaveral at approx. 0610 hrs. PD))",9/2/2015
9/2/2015 6:00:00,Deerfield Beach,FL,Other,2 minutes,"@ ~6 AM 02SE15, witnessed an obj. in the morning twilight. Was to my north, moving from W to E. ((NUFORC Note: Atlas V launch. PD))",9/2/2015
9/1/2015 23:45:00,Indianapolis,IN,Fireball,1 minute,"Looked like a fireball floating through the sky, then it seemed to stop, change course and disappear.",9/2/2015
9/1/2015 23:15:00,Greenfield,IN,Cross,ongoing,"Saw a very small very slow moving craft, that would dart at times in other directions. Behind that was a multicolored very slow moving",9/2/2015
9/1/2015 23:12:00,Athens,GA,Fireball,4 seconds,Red/orange fireball that descended and fizzled.,9/2/2015
9/1/2015 21:00:00,Farmington,MO,Fireball,1 minute,Observed 2 yellowish/golden fireballs,9/2/2015
9/1/2015 20:00:00,Oil City,PA,Disk,10 minutes,"Black craft with colored lights over Oil City, Pennsylvania.",9/2/2015
9/1/2015 20:00:00,Lehighton,PA,Fireball,?,Fireball floating.,9/2/2015
9/1/2015 5:03:00,Bayville,NY,,20 seconds,"High-alt., bright and slowly dissipating pulses. Pulses were infrequent and not predictable. I could only see the it when it pulsed.",9/2/2015
9/1/2015 4:48:00,Las Vegas,GA,Circle,1 hour,"Strange Light pulsating red, blue, green",9/2/2015
8/31/2015 23:00:00,Meadowview,VA,Flash,2 seconds,My description is a bright light caught my eye tonight. Bigger & brighter than any star I've ever seen. Beside the north star. It showe,9/2/2015
8/31/2015 22:30:00,Fraser,MI,Circle,2 minutes,"This thing was dripping fire, ball lightening, comet maybe",9/2/2015
